name,slug,parentSlug,description,displayOrder,isActive,isFeatured,seoTitle,seoDescription,seoKeywords,canonicalUrl
"Solar Panels","solar-panels","","High-efficiency monocrystalline, polycrystalline, and bifacial solar panels for residential, commercial, and agricultural installations in Kenya.",1,true,true,"Solar Panels Price in Kenya | Monocrystalline & Bifacial Panels","Buy high-efficiency Tier-1 solar panels in Nairobi, Kenya. Explore 50W to 670W monocrystalline & polycrystalline panels with 25-year warranty.","solar panels kenya, solar panel price nairobi, monocrystalline solar panel, polycrystalline solar panel kenya, jinko solar panels","https://nuruenergy.co.ke/categories/solar-panels"
"Solar Batteries","solar-batteries","","Deep cycle solar energy storage solutions including long-lifespan LiFePO4 lithium batteries, maintenance-free gel, and lead acid deep cycle batteries.",2,true,true,"Solar Batteries Price in Kenya | Lithium LiFePO4 & Gel Batteries","Shop deep cycle lithium solar batteries and gel storage batteries in Nairobi, Kenya. Reliable energy backup for power cuts with 5-year warranty.","solar batteries kenya, lithium solar battery nairobi, lifepo4 battery price, felicity solar battery, deep cycle gel battery","https://nuruenergy.co.ke/categories/solar-batteries"
"Solar Inverters","solar-inverters","","Pure sine wave hybrid, off-grid, and string solar inverters equipped with intelligent MPPT charge controllers for uninterrupted clean power.",3,true,true,"Hybrid & Off-Grid Solar Inverters Price in Kenya | Pure Sine Wave","High-efficiency 1kW to 12kW hybrid solar inverters in Nairobi, Kenya. Top brands Sunsynk, Victron Energy, Must Solar, and Felicity Solar.","solar inverter kenya, hybrid inverter price nairobi, sunsynk 5kw inverter, victron energy inverter, off grid inverter","https://nuruenergy.co.ke/categories/solar-inverters"
"Solar Power Kits & Systems","solar-power-kits","","Complete plug-and-play solar home kits, lithium power bundles, and home/office UPS emergency backup power kits.",4,true,true,"Solar Power Kits & Backup Systems Price in Kenya","Complete solar kits, lithium battery systems, and backup power packages in Nairobi, Kenya. Plug-and-play power for homes, shops, and farms.","solar kits kenya, lithium solar system nairobi, backup power kit price kenya, solar home lighting kit","https://nuruenergy.co.ke/categories/solar-power-kits"
"Generators & Engines","generators","","Electric-start petrol generators and silent diesel generator sets for residential backup power, construction sites, and commercial facilities.",5,true,true,"Petrol & Silent Diesel Generators Price in Kenya | Backup Power","Buy heavy-duty electric start petrol and silent diesel generators in Kenya. Reliable backup power for homes, shops, construction, and farms.","generators kenya, silent diesel generator nairobi, petrol generator price kenya, emergency power generator","https://nuruenergy.co.ke/categories/generators"
"Water & Borehole Solutions","water-pumps","","Solar submersible borehole pumps, petrol water pumps, diesel water pumps, and drive controllers for farm irrigation and water transfer.",6,true,true,"Water Pumps & Borehole Solutions Price in Kenya | Petrol, Diesel & Solar","High-flow petrol, diesel, and solar water pumps in Nairobi, Kenya. Ideal for farm irrigation, borehole extraction, deep wells, and drainage.","water pump kenya, petrol water pump nairobi, diesel water pump price, dayliff solar pump, borehole submersible pump","https://nuruenergy.co.ke/categories/water-pumps"
"Biogas Appliances","biogas-appliances","","High-efficiency household biogas appliances, including biogas desulfurization filter units, single burners, and double burner stoves.",7,true,true,"Biogas Appliances & Stoves Price in Kenya | Lanneng Biogas","Buy genuine biogas desulfurizers and single & double burner biogas stoves in Nairobi, Kenya. Clean energy for cooking and farming.","biogas stove kenya, biogas burner price nairobi, biogas desulfurizer, lanneng biogas","https://nuruenergy.co.ke/categories/biogas-appliances"
"Egg Incubators & Hatching","egg-incubators","","Automatic AC/DC dual-power poultry egg incubators with automatic egg turning, digital temperature controls, and high hatch rates.",8,true,true,"Automatic Egg Incubators Price in Kenya | AC/DC 64 to 2112 Eggs","Shop 64, 128, 256, 528, 1056, and 2112 egg automatic incubators in Nairobi, Kenya. Dual 12V/220V power input for uninterrupted hatching.","egg incubator kenya, automatic incubator price nairobi, kukumom incubator, premier egg incubator, poultry hatching machine","https://nuruenergy.co.ke/categories/egg-incubators"
"Agriculture & Farming Machinery","agriculture-machinery","","Brush cutters, diesel walking tractors, seed planters, knapsack sprayers, mist blowers, and milking machines for Kenyan farms.",9,true,true,"Farm Equipment & Agricultural Machinery Price in Kenya","Buy petrol brush cutters, walking tractors, hand seed planters, knapsack sprayers, and milking machines in Nairobi, Kenya.","farm machinery kenya, brush cutter price nairobi, walking tractor kenya, knapsack sprayer, seed planter","https://nuruenergy.co.ke/categories/agriculture-machinery"
"Construction & Industrial Tools","construction-tools","","Professional inverter welding machines, heavy-duty power tools, woodworking machinery, and building construction tools.",10,true,true,"Inverter Welding Machines & Heavy Duty Power Tools Kenya","Professional MMA/TIG inverter welders, Bosch angle grinders, rotary hammers, and building tools in Nairobi, Kenya.","welding machine kenya, inverter welder price nairobi, bosch power tools kenya, construction equipment","https://nuruenergy.co.ke/categories/construction-tools"
"Commercial Cleaning Equipment","cleaning-equipment","","High-pressure carwash washers, carpet sofa extractors, commercial wet/dry vacuum cleaners, and floor polishers.",11,true,true,"High Pressure Carwash Washers & Vacuum Cleaners Price Kenya","Commercial high-pressure washers, carwash cleaning kits, and heavy-duty wet/dry vacuum cleaners in Nairobi, Kenya.","pressure washer carwash kenya, karcher pressure washer nairobi, commercial vacuum cleaner kenya","https://nuruenergy.co.ke/categories/cleaning-equipment"
"Monocrystalline Solar Panels","monocrystalline-solar-panels","solar-panels","Ultra-high efficiency monocrystalline PV modules engineered for maximum solar energy harvest in tropical climates.",1,true,false,"Monocrystalline Solar Panels Price in Kenya | N-Type & PERC","Buy top-rated monocrystalline solar panels in Nairobi, Kenya. High efficiency cell technology for homes and commercial solar projects.","monocrystalline solar panel kenya, n-type solar panel, perc solar panel nairobi","https://nuruenergy.co.ke/categories/monocrystalline-solar-panels"
"Polycrystalline Solar Panels","polycrystalline-solar-panels","solar-panels","Cost-effective polycrystalline solar panels ideal for agricultural water pumping, street lighting, and home power systems.",2,true,false,"Polycrystalline Solar Panels Price in Kenya","Affordable polycrystalline solar panels in Nairobi, Kenya. Dependable solar PV panels for home lighting and solar water pumps.","polycrystalline solar panel kenya, poly solar panel price nairobi","https://nuruenergy.co.ke/categories/polycrystalline-solar-panels"
"Lithium LiFePO4 Batteries","lithium-lifepo4-batteries","solar-batteries","Long-cycle lithium iron phosphate energy storage batteries with integrated smart Battery Management System (BMS).",1,true,false,"Lithium LiFePO4 Solar Batteries Price in Kenya | 48V Wall Mounted","High-safety 48V lithium LiFePO4 solar batteries in Nairobi, Kenya. 6000+ deep charge cycles with zero maintenance.","lifepo4 battery kenya, 48v lithium battery nairobi, wall mounted solar battery","https://nuruenergy.co.ke/categories/lithium-lifepo4-batteries"
"Gel Deep Cycle Batteries","gel-deep-cycle-batteries","solar-batteries","Sealed maintenance-free gel deep cycle solar batteries engineered for deep discharge and solar energy storage.",2,true,false,"Gel Deep Cycle Solar Batteries Price in Kenya | 100Ah 150Ah 200Ah","Shop 12V 100Ah, 150Ah, and 200Ah deep cycle gel solar batteries in Nairobi, Kenya. Long lifespan and leak-proof design.","gel solar battery kenya, 200ah gel battery price nairobi, ritar gel battery","https://nuruenergy.co.ke/categories/gel-deep-cycle-batteries"
"Lead Acid Solar Batteries","lead-acid-solar-batteries","solar-batteries","Heavy-duty tubular lead acid solar batteries designed for high ambient temperatures and solar storage.",3,true,false,"Lead Acid Deep Cycle Solar Batteries Kenya","Durable lead acid solar batteries in Nairobi, Kenya for home off-grid solar systems and inverter backup.","lead acid battery kenya, chloride exide solar battery","https://nuruenergy.co.ke/categories/lead-acid-solar-batteries"
"Hybrid Solar Inverters","hybrid-solar-inverters","solar-inverters","Advanced hybrid inverters that manage solar PV input, battery bank storage, and KPLC grid power automatically.",1,true,false,"Hybrid Solar Inverters Price in Kenya | 3kW 5kW 8kW 12kW","Order dual MPPT hybrid solar inverters in Nairobi, Kenya. Seamless switchover during power outages to keep your appliances running.","hybrid solar inverter kenya, 5kw hybrid inverter price, sunsynk hybrid inverter","https://nuruenergy.co.ke/categories/hybrid-solar-inverters"
"String Solar Inverters","string-solar-inverters","solar-inverters","Grid-tied string solar inverters for commercial rooftop solar installations and net-metering systems.",2,true,false,"Grid Tie String Solar Inverters Price in Kenya","High-efficiency grid-tied string inverters in Nairobi, Kenya for commercial solar arrays and industrial roof installations.","string inverter kenya, grid tie solar inverter nairobi","https://nuruenergy.co.ke/categories/string-solar-inverters"
"Solar Charge Controllers","solar-charge-controllers","solar-inverters","High-efficiency MPPT and PWM solar charge controllers for optimal battery charging and voltage regulation.",3,true,false,"MPPT & PWM Solar Charge Controllers Price in Kenya | 20A - 100A","Buy 20A to 100A MPPT solar charge controllers in Nairobi, Kenya. Up to 99% tracking efficiency for solar battery protection.","mppt controller kenya, solar charge controller price nairobi, solarmax mppt","https://nuruenergy.co.ke/categories/solar-charge-controllers"
"All-in-One Solar Home Kits","solar-home-kits","solar-power-kits","Complete DC and AC solar home lighting and appliance kits ranging from 60W to 645W.",1,true,false,"Solar Home Kits Price in Kenya | 60W to 645W Complete Kits","Shop complete solar home kits including solar panels, battery, controller, inverter, and LED lights in Nairobi, Kenya.","solar kit kenya, solar home lighting system nairobi, sunnypex solar kit","https://nuruenergy.co.ke/categories/solar-home-kits"
"Lithium Solar Systems","lithium-solar-systems","solar-power-kits","Premium complete solar power systems featuring LiFePO4 lithium batteries, high-wattage solar panels, and hybrid inverters.",2,true,false,"Lithium Solar Power Kits Price in Kenya | 1kVA to 10kVA Systems","Buy complete lithium solar power kits (1kVA to 10kVA) in Nairobi, Kenya. Complete with lithium storage, hybrid inverter, and Tier-1 panels.","lithium solar kit kenya, 5kva lithium solar system price","https://nuruenergy.co.ke/categories/lithium-solar-systems"
"Home & Office Backup Kits","backup-power-kits","solar-power-kits","Emergency power backup systems comprising high-capacity lithium battery bank and pure sine wave hybrid inverter.",3,true,false,"Emergency Backup Power Kits Price in Kenya | 1kVA to 10kVA UPS","Buy 1kVA to 10kVA battery backup power kits in Nairobi, Kenya for instant power cut protection for homes and offices.","backup kit kenya, inverter battery backup system nairobi","https://nuruenergy.co.ke/categories/backup-power-kits"
"AC/DC Automatic Incubators","ac-dc-incubators","egg-incubators","Dual-power 12V DC and 220V AC poultry egg incubators with automatic humidity control and egg turning tray.",1,true,false,"AC/DC Dual Power Egg Incubators Price in Kenya","Buy AC/DC dual power egg incubators in Nairobi, Kenya. Runs on KPLC grid or 12V solar battery during blackouts.","ac dc egg incubator kenya, dual power incubator nairobi","https://nuruenergy.co.ke/categories/ac-dc-incubators"
"Biogas Desulfurizers","biogas-desulfurizers","biogas-appliances","Specialized iron oxide biogas desulfurizer filters to remove hydrogen sulfide gas and protect biogas appliances.",1,true,false,"Biogas Desulfurizer Filter Units Price in Kenya","Order biogas desulfurizer filter units in Nairobi, Kenya to clean household biogas and extend appliance lifespan.","biogas desulfurizer kenya, biogas filter price nairobi","https://nuruenergy.co.ke/categories/biogas-desulfurizers"
"Biogas Stoves & Burners","biogas-burners","biogas-appliances","Single and double burner cast iron biogas stoves designed for efficient cooking with domestic biogas digesters.",2,true,false,"Single & Double Burner Biogas Stoves Price in Kenya","Buy single and double burner biogas cookers in Nairobi, Kenya. Heavy-duty cast iron construction for farm biogas digesters.","biogas stove kenya, double burner biogas stove nairobi","https://nuruenergy.co.ke/categories/biogas-burners"
"Petrol Engine Water Pumps","petrol-water-pumps","water-pumps","High-flow 2-inch and 3-inch 4-stroke petrol engine water pumps for farm irrigation, dam pumping, and construction.",1,true,false,"2 Inch & 3 Inch Petrol Water Pumps Price in Kenya","Buy 2-inch and 3-inch petrol water pumps in Nairobi, Kenya. Top brands Honda, Kmax, Aerobs, Premier, and Koshin.","petrol water pump kenya, 3 inch petrol pump price nairobi, honda water pump","https://nuruenergy.co.ke/categories/petrol-water-pumps"
"Diesel Engine Water Pumps","diesel-water-pumps","water-pumps","Heavy-duty 2-inch and 3-inch diesel engine water pumps engineered for continuous agricultural irrigation.",2,true,false,"Diesel Water Pumps Price in Kenya | 2 Inch & 3 Inch High Flow","Buy heavy-duty 2-inch and 3-inch diesel water pumps in Nairobi, Kenya. Built for continuous farm irrigation and dewatering.","diesel water pump kenya, 3 inch diesel pump price nairobi, kato germany diesel pump","https://nuruenergy.co.ke/categories/diesel-water-pumps"
"Submersible Borehole Pumps","submersible-borehole-pumps","water-pumps","Stainless steel solar and electric submersible pumps for deep borehole water extraction and high-head pumping.",3,true,false,"Solar Submersible Borehole Pumps Price in Kenya","Stainless steel solar submersible borehole pumps in Kenya. High head & flow ratings with automatic solar MPPT drive controllers.","submersible borehole pump kenya, solar borehole pump price nairobi, deep well water pump","https://nuruenergy.co.ke/categories/submersible-borehole-pumps"
